name,Year,Team,P,P/PA,BatSwing_percent,contact_percent,BattingchanceSwing%,PA,AB,R,TB,RBI,AVG,OBP,SLG,wOBA,WAR,WPA,IsoP,IsoD,BIPA,Spd,PSN,wRC+,RAA-Adj,RP_Run,RAR,WAA,Chance_hit_per,RE24,WPA,PoilOut,PoilMissing,PoilOut%,salary
나성용,2016,삼성,DH,3.69,52.1,56,9.1,13,12,1,2,0,0.167,0.231,0.167,0.203,-0.13,-0.26,0,0.064,0.286,3.1,0,-1.7,-1.8,0.7,-1.4,-0.2,0,-2.87,-0.26,0,0,0,3900
이상훈,2016,삼성,RF,3.64,66.7,76.5,9.1,14,12,0,1,0,0.083,0.083,0.083,0.067,-0.29,-0.42,0,0,0.125,1.9,0,-89.8,-3,0.8,-2.2,-0.3,0,-3.88,-0.42,0,0,0,3600
김상수,2016,삼성,SS,3.57,40.1,87,6.4,401,358,56,119,38,0.271,0.326,0.332,0.304,0.4,-1.19,0.062,0.055,0.294,3.9,4,64.5,-25.9,22.9,2,-1.9,0.236,-15.34,-1.19,1,1,1.19,31000
이지영,2016,삼성,C,3.18,55.8,88.8,9.8,419,390,36,149,50,0.297,0.329,0.382,0.321,0.98,-0.03,0.085,0.031,0.309,2.3,4.2,75.2,-14.6,23.9,17.6,-0.6,0.342,-10.17,-0.03,0,0,8.54,26000
에반스,2016,두산,DH,4.24,42.7,77.1,10.9,481,400,69,226,81,0.308,0.41,0.565,0.425,3.76,3.29,0.258,0.102,0.338,1.7,0,150.6,31,27.4,45.3,1.6,0.266,28.4,3.29,0,0,6.12,68000
김재호,2016,두산,SS,4.11,38,89.6,6.1,496,416,69,183,78,0.31,0.389,0.44,0.374,3.24,2.4,0.13,0.079,0.33,4.8,7.47,110.5,20.1,28.3,54.6,2.3,0.336,15.67,2.4,0,3,5.09,65000
오재원,2016,두산,2B,4.08,41.8,80.1,7.7,484,416,68,148,58,0.272,0.358,0.356,0.334,1.43,0.72,0.084,0.086,0.322,4.3,7.22,84.5,-4.5,27.6,24.8,-0.3,0.33,-5.7,0.72,0,0,2.75,55000
김재환,2016,두산,LF,3.95,46,74,12.1,568,492,107,309,124,0.325,0.407,0.628,0.442,5.75,5.71,0.303,0.081,0.348,5,13.16,162.7,42.9,32.4,67,3,0.313,58.56,5.71,0,0,0,20000
국해성,2016,두산,RF,3.9,47.1,73.4,8.8,174,151,28,65,24,0.278,0.368,0.43,0.365,0.55,0.4,0.152,0.09,0.339,3.7,1.6,107,1.2,9.9,7.9,-0.2,0.378,6.48,0.4,0,0,3.13,5000
박세혁,2016,두산,C,3.72,46.8,76,9.6,210,172,26,58,23,0.209,0.302,0.337,0.281,0.04,-0.36,0.128,0.092,0.248,5,2.86,51.9,-12.9,12,3.5,-0.8,0.148,-4.35,-0.36,0,2,2.86,6000
허경민,2016,두산,3B,3.64,42.1,85.3,7.3,609,538,96,207,81,0.286,0.36,0.385,0.344,1.91,0.46,0.099,0.074,0.31,4.6,6.46,90.5,-16.7,34.7,20.5,-1.3,0.321,21.56,0.46,0,0,4.11,30000
류지혁,2016,두산,SS,3.55,50.6,74.7,8.3,134,118,34,48,9,0.288,0.356,0.407,0.346,0.73,0.02,0.119,0.068,0.352,5.1,3,94,6.5,7.6,15,0.7,0.296,0.62,0.02,0,0,0,5700
김동한,2016,롯데,2B,3.82,50.7,83.9,6.1,96,88,6,28,12,0.261,0.309,0.318,0.29,0.05,0.14,0.057,0.047,0.319,3.9,0,56,-10.1,5.5,0.3,-0.5,0.25,-3.94,0.14,0,1,0,3800
오재일,2016,두산,1B,4.08,45.7,79.9,8.3,455,380,69,225,92,0.316,0.411,0.592,0.43,4.03,4.67,0.276,0.095,0.324,3.6,1.93,154.4,33,26,50,2.1,0.295,48.53,4.67,0,0,0,19800
최주환,2016,두산,2B,4,43.5,88.3,6,182,160,21,62,22,0.281,0.339,0.388,0.328,0.16,-0.01,0.106,0.058,0.301,2.6,0,80.9,-5.7,10.4,2.7,-0.7,0.382,3.74,-0.01,0,0,2.7,10000
정진호,2016,두산,LF,3.94,42.9,81.5,9.5,32,24,9,11,3,0.375,0.531,0.458,0.473,0.27,0.3,0.083,0.156,0.391,6.8,0,169.9,1.6,1.8,3,0.1,0.333,3.38,0.3,0,1,0,4700
박건우,2016,두산,RF,3.87,47.2,81.5,10.9,540,484,95,266,83,0.335,0.39,0.55,0.411,4.51,2.99,0.215,0.055,0.371,5.9,18.38,137.7,32.8,30.8,58.9,2.5,0.331,34.25,2.99,1,3,6.25,19500
민병헌,2016,두산,RF,3.69,47.8,79.4,9.6,579,511,98,253,87,0.325,0.396,0.495,0.4,4.24,2.84,0.17,0.071,0.368,4.9,11.52,129.5,21.5,33,51.6,1.6,0.357,38.07,2.84,0,2,5.79,55000
양의지,2016,두산,C,3.61,42.5,92.5,8.6,392,332,66,189,66,0.319,0.404,0.569,0.422,4.81,1.96,0.25,0.085,0.292,2.1,3.67,149.6,30.1,22.4,59.5,3.2,0.245,16.13,1.96,0,0,10.81,48000
정훈,2016,롯데,2B,4.18,41.2,83.1,6.7,439,370,48,125,46,0.262,0.362,0.338,0.331,0.73,1.07,0.076,0.1,0.322,3.6,3.11,82.5,-16,25,10.6,-1.3,0.356,-2.31,1.07,0,0,0,15000
손아섭,2016,롯데,RF,4.16,41.7,82.6,7.9,672,575,118,269,81,0.323,0.418,0.468,0.406,5.3,6.03,0.144,0.095,0.372,6.2,23.17,131,34.3,38.3,65.2,2.3,0.331,46.55,6.03,1,6,5.46,65000
강민호,2016,롯데,C,4.06,41.4,76,6.4,460,381,65,209,72,0.323,0.433,0.549,0.434,5,5.06,0.226,0.11,0.377,3.2,6.67,147.7,30.2,26.2,61.8,3.1,0.33,38.41,5.06,0,1,0,100000
전준우,2016,롯데,CF,3.81,38.8,80.2,8.7,113,99,16,38,10,0.253,0.339,0.384,0.333,0.19,0.1,0.131,0.087,0.319,3,2.4,83,-7.5,6.4,-0.7,-0.6,0.259,0.35,0.1,0,0,3.45,20500
김지수,2016,넥센,2B,3.93,38.6,83.2,6.6,106,91,16,40,9,0.286,0.353,0.44,0.345,0.32,0.2,0.154,0.067,0.315,3.2,2.4,88.8,1.4,6,8.1,0.2,0.16,-5.03,0.2,1,0,3.85,6200
최준석,2016,롯데,DH,4.37,35.5,76.4,7.7,396,325,49,152,70,0.262,0.384,0.468,0.381,0.7,1.26,0.206,0.122,0.317,0.7,0,113.9,1.6,22.6,12.2,-0.9,0.263,12.03,1.26,0,1,0,40000
박헌도,2016,롯데,LF,4.07,36.8,70.7,9,82,69,9,34,11,0.261,0.378,0.493,0.39,0.36,0.11,0.232,0.117,0.366,2.6,1.5,118.6,0.4,4.7,3.8,-0.1,0.261,4.01,0.11,0,0,0,5600
김문호,2016,롯데,LF,4.02,44.1,86.4,6.4,599,526,77,226,70,0.325,0.401,0.43,0.384,2.47,1.35,0.105,0.076,0.364,3.8,8.84,117,5.1,34.2,32.4,-0.2,0.305,18.8,1.35,0,0,0,14000
신본기,2016,롯데,SS,3.5,38.7,83.7,4.9,104,81,13,32,10,0.309,0.451,0.395,0.402,0.82,0.52,0.086,0.142,0.353,1.8,0,128.1,5.9,5.9,13.1,0.6,0.308,2.02,0.52,0,0,0,5500
오지환,2016,LG,SS,4.22,43,74.9,10.3,472,393,73,194,78,0.28,0.387,0.494,0.391,4.16,1.98,0.214,0.107,0.32,6.1,18.38,126.6,22.3,26.9,55,2.5,0.266,23.49,1.98,0,0,4.17,35000
문선재,2016,LG,CF,4.02,48.6,73.8,3.4,127,111,28,60,16,0.288,0.344,0.541,0.367,0.79,0.01,0.252,0.056,0.329,7.5,5.83,112.2,7.6,7.2,14.5,0.6,0.226,-0.66,0.01,1,1,10.35,8000
